Entry	Protein names	Gene names	Organism	Organism ID	yourlist:M20180906A7434721E10EE6586998A056CCD0537EAB5327E
A0A1D6F5R2	Serine--tRNA ligase cytoplasmic	100272738 ZEAMMB73_Zm00001d007369	Zea mays (Maize)	4577	A0A1D6F5R2
A0A1D6FBC8	Hydroxymethylglutaryl-CoA lyase mitochondrial	100193689 ZEAMMB73_Zm00001d008271	Zea mays (Maize)	4577	A0A1D6FBC8
A0A1D6FBC9	Hydroxymethylglutaryl-CoA lyase mitochondrial	100193689 ZEAMMB73_Zm00001d008271	Zea mays (Maize)	4577	A0A1D6FBC9
A0A1D6FBD1	Hydroxymethylglutaryl-CoA lyase mitochondrial	100193689 ZEAMMB73_Zm00001d008271	Zea mays (Maize)	4577	A0A1D6FBD1
A0A1D6FC53	Zinc knuckle (CCHC-type) family protein	100192703 ZEAMMB73_Zm00001d008354	Zea mays (Maize)	4577	A0A1D6FC53
A0A1D6FC54	Zinc knuckle (CCHC-type) family protein	100192703 ZEAMMB73_Zm00001d008354	Zea mays (Maize)	4577	A0A1D6FC54
A0A1D6FC55	Zinc knuckle (CCHC-type) family protein	100192703 ZEAMMB73_Zm00001d008354	Zea mays (Maize)	4577	A0A1D6FC55
A0A1D6FUJ6	Bifunctional protein FolD 2	100272563 ZEAMMB73_Zm00001d010867	Zea mays (Maize)	4577	A0A1D6FUJ6
A0A1D6G643	Stearoyl-acyl-carrier-protein desaturase2	100192652 ZEAMMB73_Zm00001d012033	Zea mays (Maize)	4577	A0A1D6G643
A0A1D6G646	Stearoyl-acyl-carrier-protein desaturase2	100192652 ZEAMMB73_Zm00001d012033	Zea mays (Maize)	4577	A0A1D6G646
A0A1D6G647	Stearoyl-acyl-carrier-protein desaturase2	100192652 ZEAMMB73_Zm00001d012033	Zea mays (Maize)	4577	A0A1D6G647
A0A1D6G649	Stearoyl-acyl-carrier-protein desaturase2	100192652 ZEAMMB73_Zm00001d012033	Zea mays (Maize)	4577	A0A1D6G649
A0A1D6G651	Stearoyl-acyl-carrier-protein desaturase2	100192652 ZEAMMB73_Zm00001d012033	Zea mays (Maize)	4577	A0A1D6G651
A0A1D6G657	Stearoyl-acyl-carrier-protein desaturase2	100192652 ZEAMMB73_Zm00001d012033	Zea mays (Maize)	4577	A0A1D6G657
A0A1D6GDH1	LUC7 related protein	100191822 ZEAMMB73_Zm00001d012865	Zea mays (Maize)	4577	A0A1D6GDH1
A0A1D6GGZ2	Transcriptional adapter	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GGZ2
A0A1D6GGZ6	Transcriptional adapter	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GGZ6
A0A1D6GGZ7	Transcriptional adapter	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GGZ7
A0A1D6GGZ8	Transcriptional adapter	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GGZ8
A0A1D6GH01	Transcriptional adapter ADA2b	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GH01
A0A1D6GH02	Transcriptional adapter	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GH02
A0A1D6GH03	Transcriptional adapter	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GH03
A0A1D6GH06	Transcriptional adapter	542677 ZEAMMB73_Zm00001d013265	Zea mays (Maize)	4577	A0A1D6GH06
A0A1D6GLI5	Telomere repeat-binding factor 1	542683 ZEAMMB73_Zm00001d013694	Zea mays (Maize)	4577	A0A1D6GLI5
A0A1D6GZY9	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein	100272422 ZEAMMB73_Zm00001d015208	Zea mays (Maize)	4577	A0A1D6GZY9
A0A1D6GZZ0	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein	100272422 ZEAMMB73_Zm00001d015208	Zea mays (Maize)	4577	A0A1D6GZZ0
A0A1D6GZZ1	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein	100272422 ZEAMMB73_Zm00001d015208	Zea mays (Maize)	4577	A0A1D6GZZ1
A0A1D6GZZ2	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein	100272422 ZEAMMB73_Zm00001d015208	Zea mays (Maize)	4577	A0A1D6GZZ2
A0A1D6H6Z6	Dihydrolipoamide S-acetyltransferase1	541781 ZEAMMB73_Zm00001d016365	Zea mays (Maize)	4577	A0A1D6H6Z6
A0A1D6HNM6	Molecular chaperone Hsp40/DnaJ family protein	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNM6
A0A1D6HNM7	Molecular chaperone Hsp40/DnaJ family protein	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNM7
A0A1D6HNM8	Molecular chaperone Hsp40/DnaJ family protein	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNM8
A0A1D6HNN0	Molecular chaperone Hsp40/DnaJ family protein	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNN0
A0A1D6HNN3	Molecular chaperone Hsp40/DnaJ family protein	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNN3
A0A1D6HNN6	Molecular chaperone Hsp40/DnaJ family protein	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNN6
A0A1D6HNN7	Molecular chaperone Hsp40/DnaJ family protein	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNN7
A0A1D6HNP0	ATP-dependent Clp protease proteolytic subunit	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNP0
A0A1D6HNP1	ATP-dependent Clp protease proteolytic subunit	100272787 ZEAMMB73_Zm00001d018413	Zea mays (Maize)	4577	A0A1D6HNP1
A0A1D6HPL2	3-ketoacyl-CoA thiolase 2 peroxisomal	100192501 ZEAMMB73_Zm00001d018487	Zea mays (Maize)	4577	A0A1D6HPL2
A0A1D6HPL5	3-ketoacyl-CoA thiolase 2 peroxisomal	100192501 ZEAMMB73_Zm00001d018487	Zea mays (Maize)	4577	A0A1D6HPL5
A0A1D6HPL6	3-ketoacyl-CoA thiolase 2 peroxisomal	100192501 ZEAMMB73_Zm00001d018487	Zea mays (Maize)	4577	A0A1D6HPL6
A0A1D6I6S9	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6S9
A0A1D6I6T0	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T0
A0A1D6I6T2	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T2
A0A1D6I6T3	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T3
A0A1D6I6T4	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T4
A0A1D6I6T5	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T5
A0A1D6I6T6	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T6
A0A1D6I6T7	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T7
A0A1D6I6T8	Heat shock protein 90-2	100272368 ZEAMMB73_Zm00001d020898	Zea mays (Maize)	4577	A0A1D6I6T8
A0A1D6IAS4	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAS4
A0A1D6IAS6	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAS6
A0A1D6IAS7	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAS7
A0A1D6IAS8	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAS8
A0A1D6IAS9	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAS9
A0A1D6IAT0	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT0
A0A1D6IAT1	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT1
A0A1D6IAT2	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT2
A0A1D6IAT3	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT3
A0A1D6IAT4	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT4
A0A1D6IAT6	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT6
A0A1D6IAT7	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT7
A0A1D6IAT8	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAT8
A0A1D6IAU1	UDP-glucose pyrophosphorylase2	100191846 ZEAMMB73_Zm00001d021421	Zea mays (Maize)	4577	A0A1D6IAU1
A0A1D6IF49	Protein THYLAKOID FORMATION 1 chloroplastic	100193314 ZEAMMB73_Zm00001d021764	Zea mays (Maize)	4577	A0A1D6IF49
A0A1D6IF50	Protein THYLAKOID FORMATION 1 chloroplastic	100193314 ZEAMMB73_Zm00001d021764	Zea mays (Maize)	4577	A0A1D6IF50
A0A1D6IF51	Protein THYLAKOID FORMATION 1 chloroplastic	100193314 ZEAMMB73_Zm00001d021764	Zea mays (Maize)	4577	A0A1D6IF51
A0A1D6IF52	Protein THYLAKOID FORMATION 1 chloroplastic	100193314 ZEAMMB73_Zm00001d021764	Zea mays (Maize)	4577	A0A1D6IF52
A0A1D6IF53	Protein THYLAKOID FORMATION 1 chloroplastic	100193314 ZEAMMB73_Zm00001d021764	Zea mays (Maize)	4577	A0A1D6IF53
A0A1D6IF54	Protein THYLAKOID FORMATION 1 chloroplastic	100193314 ZEAMMB73_Zm00001d021764	Zea mays (Maize)	4577	A0A1D6IF54
A0A1D6IIU0	Eukaryotic translation initiation factor 5A (eIF-5A)	542537 ZEAMMB73_Zm00001d022042	Zea mays (Maize)	4577	A0A1D6IIU0
A0A1D6IIU1	Eukaryotic translation initiation factor 5A	542537 ZEAMMB73_Zm00001d022042	Zea mays (Maize)	4577	A0A1D6IIU1
A0A1D6IJZ9	Ribosomal proteinS6	542529 ZEAMMB73_Zm00001d022180	Zea mays (Maize)	4577	A0A1D6IJZ9
A0A1D6IK00	Ribosomal proteinS6	542529 ZEAMMB73_Zm00001d022180	Zea mays (Maize)	4577	A0A1D6IK00
A0A1D6IU85	L-ascorbate peroxidase S chloroplastic/mitochondrial	100193740 ZEAMMB73_Zm00001d023582	Zea mays (Maize)	4577	A0A1D6IU85
A0A1D6IWV9	Oxo-glutarate/malate transporter1	542560 ZEAMMB73_Zm00001d023929	Zea mays (Maize)	4577	A0A1D6IWV9
A0A1D6J0R8	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	A0A1D6J0R8
A0A1D6J0S0	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	A0A1D6J0S0
A0A1D6J0S2	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	A0A1D6J0S2
A0A1D6J0S4	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	A0A1D6J0S4
A0A1D6J0S5	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	A0A1D6J0S5
A0A1D6J0S6	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	A0A1D6J0S6
A0A1D6J0S7	Monodehydroascorbate reductase 5 mitochondrial	100272772 ZEAMMB73_Zm00001d024633	Zea mays (Maize)	4577	A0A1D6J0S7
A0A1D6JGD7	Proton-exporting ATPase4	542052 ZEAMMB73_Zm00001d026490	Zea mays (Maize)	4577	A0A1D6JGD7
A0A1D6JGD9	Proton-exporting ATPase4	542052 ZEAMMB73_Zm00001d026490	Zea mays (Maize)	4577	A0A1D6JGD9
A0A1D6JGE0	Proton-exporting ATPase4	542052 ZEAMMB73_Zm00001d026490	Zea mays (Maize)	4577	A0A1D6JGE0
A0A1D6JH24	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	A0A1D6JH24
A0A1D6JH25	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	A0A1D6JH25
A0A1D6JH26	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	A0A1D6JH26
A0A1D6JH27	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	A0A1D6JH27
A0A1D6JH28	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	A0A1D6JH28
A0A1D6JH30	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	A0A1D6JH30
A0A1D6JH38	Protein RCC2	100193728 ZEAMMB73_Zm00001d026532	Zea mays (Maize)	4577	A0A1D6JH38
A0A1D6JIB3	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIB3
A0A1D6JIB7	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIB7
A0A1D6JIB9	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIB9
A0A1D6JIC0	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIC0
A0A1D6JIE4	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIE4
A0A1D6JIE7	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIE7
A0A1D6JIF0	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIF0
A0A1D6JIF4	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIF4
A0A1D6JIF7	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIF7
A0A1D6JIG3	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIG3
A0A1D6JIG4	K(+) efflux antiporter 2 chloroplastic	100217150 ZEAMMB73_Zm00001d026645	Zea mays (Maize)	4577	A0A1D6JIG4
A0A1D6JMX7	Glutathione transferase11	541829 ZEAMMB73_Zm00001d027539	Zea mays (Maize)	4577	A0A1D6JMX7
A0A1D6JMY2	Glutathione transferase10	541828 ZEAMMB73_Zm00001d027542	Zea mays (Maize)	4577	A0A1D6JMY2
A0A1D6JZE5	Ran-binding protein 1 homolog a	100193549 ZEAMMB73_Zm00001d028755	Zea mays (Maize)	4577	A0A1D6JZE5
A0A1D6JZE7	Ran-binding protein 1 homolog a	100193549 ZEAMMB73_Zm00001d028755	Zea mays (Maize)	4577	A0A1D6JZE7
A0A1D6K7U3	Glutathione transferase14	541832 ZEAMMB73_Zm00001d029801	Zea mays (Maize)	4577	A0A1D6K7U3
A0A1D6K972	Myc transcription factor7	541694 ZEAMMB73_Zm00001d030028	Zea mays (Maize)	4577	A0A1D6K972
A0A1D6KTZ2	Chaperonin2	542707 ZEAMMB73_Zm00001d032789	Zea mays (Maize)	4577	A0A1D6KTZ2
A0A1D6KTZ3	Chaperonin2	542707 ZEAMMB73_Zm00001d032789	Zea mays (Maize)	4577	A0A1D6KTZ3
A0A1D6KTZ4	Chaperonin2	542707 ZEAMMB73_Zm00001d032789	Zea mays (Maize)	4577	A0A1D6KTZ4
A0A1D6L0I4	Adenylosuccinate synthetase, chloroplastic (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	100193051 PURA ZEAMMB73_Zm00001d033619	Zea mays (Maize)	4577	A0A1D6L0I4
A0A1D6L430	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L430
A0A1D6L431	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L431
A0A1D6L432	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L432
A0A1D6L433	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L433
A0A1D6L438	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L438
A0A1D6L443	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L443
A0A1D6L448	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L448
A0A1D6L450	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L450
A0A1D6L451	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L451
A0A1D6L454	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L454
A0A1D6L455	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L455
A0A1D6L456	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L456
A0A1D6L467	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L467
A0A1D6L470	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L470
A0A1D6L477	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L477
A0A1D6L478	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L478
A0A1D6L480	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L480
A0A1D6L481	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L481
A0A1D6L482	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L482
A0A1D6L483	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L483
A0A1D6L484	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L484
A0A1D6L485	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L485
A0A1D6L487	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L487
A0A1D6L489	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L489
A0A1D6L490	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L490
A0A1D6L492	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L492
A0A1D6L493	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	100272699 ZEAMMB73_Zm00001d034004	Zea mays (Maize)	4577	A0A1D6L493
